子订单编号,下单时间,商品编码,商品标题,类目名称,购买数量,买家实付金额,退款状态,退款金额,订单当前状态,收货省份
TB20260910203,2026/09/11 08:15:13,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,上海市
TB20260910204,2026-09-11 15:34:13,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,河南省
TB20260910205,2026-09-11 18:15:19,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,福建省
TB20260910206,2026-09-11 13:40:43,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,福建省
TB20260910207,2026/09/11 12:19:24,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,江苏省
TB20260910208,2026-09-11 21:26:35,SKU-006,蕾丝打底吊带背心,内搭,1,79.00  ,无退款,0.00,交易成功,湖北省
TB20260910209,2026/09/11 14:03:17,SKU-007,高腰微喇牛仔裤,裤装,2,378.00,已全额退款,378.00,交易成功,福建省
TB20260910210,2026/09/11 18:19:58,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,湖北省
TB20260910211,2026/09/11 14:25:58,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,山东省
TB20260910212,2026-09-11 23:29:06,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,四川省
TB20260910213,2026/09/11 15:47:09,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,上海市
TB20260910214,2026-09-11 15:31:35,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,湖北省
TB20260910215,2026-09-11 19:10:08,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,浙江省
TB20260910216,2026/09/11 10:52:42,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,已关闭(买家未付款),上海市
TB20260910217,2026/09/11 14:32:29,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910218,2026-09-11 21:00:01,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,交易成功,北京市
TB20260910219,2026-09-11 11:58:06,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,北京市
TB20260910220,2026-09-11 22:36:15,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,浙江省
TB20260910221,2026/09/11 23:03:40,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910222,2026-09-11 09:14:13,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,山东省
TB20260910223,2026-09-11 09:11:59,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,已关闭(买家未付款),北京市
TB20260910224,2026-09-11 15:36:53,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,广东省
TB20260910225,2026/09/11 09:06:27,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,四川省
TB20260910226,2026/09/11 22:31:14,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,广东省
TB20260910227,2026/09/11 15:45:04,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,四川省
TB20260910228,2026-09-11 17:28:23,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,售后退款成功,398.00,交易成功,北京市
TB20260910229,2026-09-11 10:38:38,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00  ,售后退款成功,578.00,交易成功,福建省
TB20260910230,2026/09/11 13:43:24,SKU-009,经典小香风编织外套,外套,1, ¥439.00 ,无退款,0.00,交易成功,江苏省
TB20260910231,2026/09/11 23:50:04,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,湖北省
TB20260910232,2026-09-11 20:21:53,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910233,2026/09/11 14:30:20,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,河南省
TB20260910234,2026/09/11 16:52:50,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,福建省
TB20260910235,2026/09/12 14:28:51,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,湖北省
TB20260910236,2026-09-12 16:42:09,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,仅退款(已到账),289.00,交易成功,福建省
TB20260910237,2026-09-12 21:34:02,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,广东省
TB20260910238,2026-09-12 19:10:41,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,四川省
TB20260910239,2026/09/12 08:06:16,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,交易成功,四川省
TB20260910240,2026-09-12 12:22:01,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,江苏省
TB20260910241,2026/09/12 14:33:30,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,交易成功,浙江省
TB20260910242,2026-09-12 18:41:06,SKU-007,高腰微喇牛仔裤,裤装,2,378.00,无退款,0.00,交易成功,江苏省
TB20260910243,2026-09-12 22:14:51,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,交易成功,河南省
TB20260910244,2026-09-12 21:24:00,SKU-008,优雅收腰风衣外套,外套,1,559.00  ,无退款,0.00,交易成功,广东省
TB20260910245,2026-09-12 19:20:12,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,河南省
TB20260910246,2026-09-12 11:22:22,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,河南省
TB20260910247,2026/09/12 18:07:15,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,江苏省
TB20260910248,2026-09-12 23:40:34,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,江苏省
TB20260910249,2026-09-12 09:55:22,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,湖北省
TB20260910250,2026/09/12 22:31:10,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),山东省
TB20260910251,2026-09-12 22:36:47,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,福建省
TB20260910252,2026-09-12 09:48:46,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,上海市
TB20260910253,2026-09-12 22:16:22,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,无退款,0.00,交易成功,上海市
TB20260910254,2026-09-12 19:55:45,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,浙江省
TB20260910255,2026/09/12 13:20:45,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,广东省
TB20260910256,2026-09-12 21:58:03,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,四川省
TB20260910257,2026-09-12 20:31:09,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,交易成功,广东省
TB20260910258,2026/09/12 19:29:31,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),湖北省
TB20260910259,2026/09/12 10:50:34,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,交易成功,山东省
TB20260910260,2026-09-12 23:50:21,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,仅退款(已到账),199.00,交易成功,广东省
TB20260910261,2026/09/12 22:00:27,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,山东省
TB20260910262,2026-09-12 10:23:42,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,上海市
TB20260910263,2026-09-12 11:00:13,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00  ,无退款,0.00,交易成功,四川省
TB20260910264,2026-09-12 21:44:08,SKU-007,高腰微喇牛仔裤,裤装,1, ¥189.00 ,已全额退款,189.00,交易成功,四川省
TB20260910265,2026/09/12 12:41:43,SKU-008,优雅收腰风衣外套,外套,1,559.00,仅退款(已到账),559.00,交易成功,上海市
TB20260910266,2026-09-12 21:39:43,SKU-004,宽松廓形针织开衫,毛织,1, ¥219.00 ,无退款,0.00,交易成功,广东省
TB20260910267,2026/09/12 21:20:50,SKU-004,宽松廓形针织开衫,毛织,1,219.00,仅退款(已到账),219.00,交易成功,山东省
TB20260910268,2026-09-12 17:13:33,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,交易成功,上海市
TB20260910269,2026/09/12 23:40:38,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,售后退款成功,738.00,交易成功,河南省
TB20260910270,2026-09-12 13:48:30,SKU-002,垂感显瘦西装阔腿裤,裤装,1, ¥199.00 ,已全额退款,199.00,交易成功,上海市
TB20260910271,2026-09-12 20:32:18,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00  ,无退款,0.00,交易成功,福建省
TB20260910272,2026-09-12 10:19:05,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,交易成功,广东省
TB20260910273,2026/09/12 15:03:15,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,交易成功,江苏省
TB20260910274,2026-09-12 08:10:31,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,交易成功,江苏省
TB20260910275,2026/09/12 11:49:57,SKU-006,蕾丝打底吊带背心,内搭,1, ¥79.00 ,无退款,0.00,交易成功,河南省
TB20260910276,2026-09-12 19:03:31,SKU-004,宽松廓形针织开衫,毛织,1,219.00,已全额退款,219.00,交易成功,广东省
TB20260910277,2026/09/12 09:54:55,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910278,2026/09/12 21:14:20,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,交易成功,广东省
TB20260910279,2026-09-12 13:14:51,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,已关闭(买家未付款),山东省
TB20260910280,2026/09/13 08:23:12,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,湖北省
TB20260910281,2026-09-13 15:09:00,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,已关闭(买家未付款),浙江省
TB20260910282,2026-09-13 20:54:47,SKU-010,基础款莫代尔打底衫,内搭,2,178.00,无退款,0.00,买家已付款,浙江省
TB20260910283,2026-09-13 16:05:02,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,买家已付款,广东省
TB20260910284,2026-09-13 20:04:37,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,买家已付款,四川省
TB20260910285,2026/09/13 18:20:28,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,买家已付款,江苏省
TB20260910286,2026-09-13 18:26:07,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,广东省
TB20260910287,2026-09-13 17:52:45,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,已关闭(买家未付款),广东省
TB20260910288,2026-09-13 20:32:03,SKU-005,羊毛混纺双面呢大衣,外套,1, ¥899.00 ,无退款,0.00,买家已付款,北京市
TB20260910289,2026/09/13 15:06:29,SKU-008,优雅收腰风衣外套,外套,1, ¥559.00 ,无退款,0.00,买家已付款,上海市
TB20260910290,2026-09-13 19:43:40,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,买家已付款,广东省
TB20260910291,2026-09-13 12:05:57,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,买家已付款,河南省
TB20260910292,2026-09-13 23:01:24,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,江苏省
TB20260910293,2026-09-13 15:41:18,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,买家已付款,北京市
TB20260910294,2026-09-13 15:40:51,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,已关闭(买家未付款),湖北省
TB20260910295,2026/09/13 18:24:17,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,浙江省
TB20260910296,2026-09-13 19:49:37,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,浙江省
TB20260910297,2026-09-13 20:22:59,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,四川省
TB20260910298,2026/09/13 19:36:36,SKU-009,经典小香风编织外套,外套,2,878.00,无退款,0.00,买家已付款,福建省
TB20260910299,2026-09-13 10:03:14,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),河南省
TB20260910300,2026-09-13 13:58:51,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,仅退款(已到账),289.00,买家已付款,广东省
TB20260910301,2026-09-13 10:23:45,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,买家已付款,江苏省
TB20260910302,2026/09/13 23:41:20,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,上海市
TB20260910303,2026-09-13 20:19:46,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,买家已付款,北京市
TB20260910304,2026/09/13 09:11:38,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,买家已付款,湖北省
TB20260910305,2026/09/13 15:22:20,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,仅退款(已到账),289.00,买家已付款,四川省
TB20260910306,2026/09/13 15:44:04,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,买家已付款,湖北省
TB20260910307,2026/09/13 21:31:56,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,上海市
TB20260910308,2026/09/13 09:18:01,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,已全额退款,578.00,买家已付款,广东省
TB20260910309,2026-09-13 10:21:38,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,河南省
TB20260910310,2026-09-13 11:21:13,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,买家已付款,山东省
TB20260910311,2026-09-13 20:36:35,SKU-002,垂感显瘦西装阔腿裤,裤装,2,398.00,无退款,0.00,买家已付款,河南省
TB20260910312,2026/09/13 14:10:40,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,无退款,0.00,买家已付款,湖北省
TB20260910313,2026-09-13 20:11:23,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,买家已付款,上海市
TB20260910314,2026-09-13 12:48:44,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,买家已付款,河南省
TB20260910315,2026-09-13 20:52:33,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,买家已付款,湖北省
TB20260910316,2026-09-13 09:32:36,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,湖北省
TB20260910317,2026/09/13 14:51:12,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,江苏省
TB20260910318,2026-09-13 10:05:24,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,买家已付款,浙江省
TB20260910319,2026/09/13 21:07:26,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,广东省
TB20260910320,2026-09-13 17:55:34,SKU-004,宽松廓形针织开衫,毛织,2,438.00,仅退款(已到账),438.00,买家已付款,浙江省
TB20260910321,2026-09-13 20:02:25,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,四川省
TB20260910322,2026-09-13 17:19:17,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,山东省
TB20260910323,2026-09-13 18:17:46,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,买家已付款,湖北省
TB20260910324,2026/09/13 09:32:50,SKU-006,蕾丝打底吊带背心,内搭,1, ¥79.00 ,无退款,0.00,买家已付款,福建省
TB20260910325,2026/09/13 14:56:53,SKU-008,优雅收腰风衣外套,外套,2,1118.00,已全额退款,1118.00,买家已付款,山东省
TB20260910326,2026/09/13 20:40:59,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910327,2026-09-13 19:22:10,SKU-010,基础款莫代尔打底衫,内搭,1, ¥89.00 ,无退款,0.00,买家已付款,浙江省
TB20260910328,2026-09-13 14:54:14,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00  ,无退款,0.00,买家已付款,浙江省
TB20260910329,2026/09/13 13:38:51,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,山东省
TB20260910330,2026/09/13 19:29:16,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,浙江省
TB20260910331,2026-09-13 19:35:41,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,山东省
TB20260910332,2026-09-13 16:41:45,SKU-004,宽松廓形针织开衫,毛织,1,219.00,仅退款(已到账),219.00,买家已付款,河南省
TB20260910333,2026-09-13 12:46:01,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,浙江省
TB20260910334,2026-09-14 14:21:46,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,买家已付款,四川省
TB20260910335,2026-09-14 13:18:06,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,四川省
TB20260910336,2026/09/14 15:47:55,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,买家已付款,广东省
TB20260910337,2026/09/14 10:30:56,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,江苏省
TB20260910338,2026-09-14 21:36:57,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,湖北省
TB20260910339,2026/09/14 18:40:03,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,湖北省
TB20260910340,2026-09-14 12:39:27,SKU-006,蕾丝打底吊带背心,内搭,1,79.00  ,无退款,0.00,买家已付款,上海市
TB20260910341,2026-09-14 18:48:53,SKU-006,蕾丝打底吊带背心,内搭,1, ¥79.00 ,无退款,0.00,已关闭(买家未付款),上海市
TB20260910342,2026/09/14 17:08:06,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,山东省
TB20260910343,2026-09-14 18:27:56,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,江苏省
TB20260910344,2026/09/14 20:01:14,SKU-009,经典小香风编织外套,外套,1, ¥439.00 ,无退款,0.00,买家已付款,福建省
TB20260910345,2026-09-14 09:24:56,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,买家已付款,广东省
TB20260910346,2026/09/14 11:26:28,SKU-004,宽松廓形针织开衫,毛织,2,438.00,无退款,0.00,买家已付款,浙江省
TB20260910347,2026-09-14 16:39:38,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,山东省
TB20260910348,2026-09-14 14:38:12,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,买家已付款,江苏省
TB20260910349,2026-09-14 14:44:59,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,已全额退款,289.00,买家已付款,湖北省
TB20260910350,2026/09/14 10:46:46,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,买家已付款,湖北省
TB20260910351,2026/09/14 09:54:18,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,买家已付款,浙江省
TB20260910352,2026-09-14 13:21:22,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,四川省
TB20260910353,2026/09/14 22:17:53,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,广东省
TB20260910354,2026-09-14 13:06:26,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,四川省
TB20260910355,2026-09-14 12:30:58,SKU-004,宽松廓形针织开衫,毛织,1, ¥219.00 ,无退款,0.00,买家已付款,四川省
TB20260910356,2026/09/14 15:42:55,SKU-001,法式复古碎花连衣裙,连衣裙,1, ¥289.00 ,无退款,0.00,买家已付款,上海市
TB20260910357,2026-09-14 20:09:53,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,买家已付款,江苏省
TB20260910358,2026/09/14 23:55:10,SKU-003,极简纯色真丝衬衫,上衣,1,369.00  ,无退款,0.00,买家已付款,上海市
TB20260910359,2026-09-14 15:05:29,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,售后退款成功,369.00,买家已付款,湖北省
TB20260910360,2026-09-14 20:26:02,SKU-006,蕾丝打底吊带背心,内搭,2, ¥158.00 ,无退款,0.00,已关闭(买家未付款),河南省
TB20260910361,2026-09-14 14:41:42,SKU-010,基础款莫代尔打底衫,内搭,1,89.00,无退款,0.00,买家已付款,四川省
TB20260910362,2026/09/14 23:45:42,SKU-004,宽松廓形针织开衫,毛织,1,219.00,仅退款(已到账),219.00,买家已付款,山东省
TB20260910363,2026/09/14 11:02:57,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,河南省
TB20260910364,2026-09-14 20:13:29,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,买家已付款,河南省
TB20260910365,2026-09-14 22:42:37,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00  ,无退款,0.00,买家已付款,北京市
TB20260910366,2026/09/14 13:44:37,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,买家已付款,四川省
TB20260910367,2026-09-14 15:17:25,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,买家已付款,北京市
TB20260910368,2026-09-14 17:53:44,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,买家已付款,上海市
TB20260910369,2026/09/14 19:58:43,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,买家已付款,四川省
TB20260910370,2026-09-14 23:37:36,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,买家已付款,北京市
TB20260910371,2026/09/14 08:24:09,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,山东省
TB20260910372,2026-09-14 17:13:48,SKU-001,法式复古碎花连衣裙,连衣裙,2,578.00,无退款,0.00,买家已付款,福建省
TB20260910373,2026-09-14 20:15:32,SKU-008,优雅收腰风衣外套,外套,1,559.00,无退款,0.00,买家已付款,北京市
TB20260910374,2026/09/14 18:35:03,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,上海市
TB20260910375,2026-09-14 19:48:37,SKU-009,经典小香风编织外套,外套,1,439.00,无退款,0.00,买家已付款,江苏省
TB20260910376,2026/09/14 13:47:32,SKU-010,基础款莫代尔打底衫,内搭,2,178.00,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910377,2026-09-14 18:29:45,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,已关闭(买家未付款),河南省
TB20260910378,2026-09-14 19:04:50,SKU-007,高腰微喇牛仔裤,裤装,1,189.00,无退款,0.00,买家已付款,江苏省
TB20260910379,2026-09-14 10:22:14,SKU-002,垂感显瘦西装阔腿裤,裤装,1,199.00,无退款,0.00,买家已付款,河南省
TB20260910380,2026/09/14 08:07:42,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,浙江省
TB20260910381,2026-09-14 11:24:16,SKU-005,羊毛混纺双面呢大衣,外套,1,899.00,无退款,0.00,买家已付款,福建省
TB20260910382,2026/09/14 14:20:32,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,无退款,0.00,买家已付款,广东省
TB20260910383,2026-09-14 14:55:43,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,北京市
TB20260910384,2026-09-14 12:01:29,SKU-004,宽松廓形针织开衫,毛织,1, ¥219.00 ,无退款,0.00,已关闭(买家未付款),江苏省
TB20260910385,2026-09-14 15:58:16,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,广东省
TB20260910386,2026-09-14 10:48:47,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,仅退款(已到账),369.00,买家已付款,山东省
TB20260910387,2026-09-14 22:24:25,SKU-004,宽松廓形针织开衫,毛织,1,219.00,无退款,0.00,已关闭(买家未付款),北京市
TB20260910388,2026/09/14 17:40:09,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,浙江省
TB20260910389,2026-09-14 11:02:00,SKU-003,极简纯色真丝衬衫,上衣,1, ¥369.00 ,无退款,0.00,买家已付款,上海市
TB20260910390,2026-09-14 19:13:26,SKU-006,蕾丝打底吊带背心,内搭,1,79.00,无退款,0.00,买家已付款,山东省
TB20260910391,2026-09-14 09:54:48,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,广东省
TB20260910392,2026/09/14 23:21:22,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,四川省
TB20260910393,2026/09/14 17:44:37,SKU-003,极简纯色真丝衬衫,上衣,1,369.00,无退款,0.00,买家已付款,四川省
TB20260910394,2026/09/14 21:17:53,SKU-001,法式复古碎花连衣裙,连衣裙,1,289.00,无退款,0.00,买家已付款,山东省
TB20260910395,2026-09-14 10:53:17,SKU-003,极简纯色真丝衬衫,上衣,2,738.00,无退款,0.00,买家已付款,广东省
TB20260910396,2026-09-14 08:52:37,SKU-006,蕾丝打底吊带背心,内搭,1, ¥79.00 ,无退款,0.00,买家已付款,山东省
